Source,Target,Source_Party,Target_Party,Source_Reselection,Target_Reselection,Source_District_Type,Target_District_Type,Source_Gender,Target_Gender,Source_Role,Target_Role
박주현,장병완,국민의당,국민의당,초선,3선,비례대표,지역구,여,남,Co-Sponsor,Representative
박지원,장병완,국민의당,국민의당,4선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
유성엽,장병완,국민의당,국민의당,3선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
윤영일,장병완,국민의당,국민의당,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
이용주,장병완,국민의당,국민의당,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
장병완,장정숙,국민의당,국민의당,3선,초선,지역구,비례대표,남,여,Representative,Co-Sponsor
장병완,정동영,국민의당,국민의당,3선,4선,지역구,지역구,남,남,Representative,Co-Sponsor
장병완,정인화,국민의당,국민의당,3선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
장병완,조배숙,국민의당,국민의당,3선,4선,지역구,지역구,남,여,Representative,Co-Sponsor
장병완,천정배,국민의당,국민의당,3선,6선,지역구,지역구,남,남,Representative,Co-Sponsor
장병완,황주홍,국민의당,국민의당,3선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
김경협,설훈,더불어민주당,더불어민주당,재선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
김병기,설훈,더불어민주당,더불어민주당,초선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
김성환,설훈,더불어민주당,더불어민주당,초선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
김해영,설훈,더불어민주당,더불어민주당,초선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
백재현,설훈,더불어민주당,더불어민주당,3선,4선,지역구,지역구,남,남,Co-Sponsor,Representative
설훈,윤일규,더불어민주당,더불어민주당,4선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
설훈,이인영,더불어민주당,더불어민주당,4선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
